ID,Label
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,0
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,1
502,1
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,0
629,0
630,1
631,0
632,0
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,1
660,0
661,0
662,0
663,1
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,0
683,1
684,1
685,0
686,0
687,0
688,0
689,1
690,1
691,0
692,1
693,1
694,0
695,0
696,0
697,0
698,1
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,1
707,1
708,1
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,1
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,1
780,0
781,1
782,0
783,1
784,0
785,0
786,0
787,1
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,1
840,1
841,1
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,1
854,0
855,1
856,1
857,0
858,1
859,1
860,1
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,0
884,1
885,1
886,0
887,1
888,1
889,1
890,0
891,1
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,1
911,0
912,0
913,0
914,1
915,0
916,1
917,0
918,0
919,1
920,0
921,0
922,1
923,1
924,0
925,1
926,0
927,0
928,1
929,1
930,0
931,0
932,1
933,1
934,0
935,1
936,0
937,1
938,1
939,1
940,1
941,0
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,1
963,0
964,0
965,1
966,1
967,0
968,1
969,1
970,0
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,0
980,0
981,0
982,1
983,1
984,1
985,0
986,1
987,0
988,1
989,1
990,1
991,0
992,0
993,1
994,1
995,0
996,0
997,1
998,0
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,1
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,1
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,0
1086,1
1087,0
1088,0
1089,0
1090,1
1091,0
1092,1
1093,0
1094,1
1095,1
1096,1
1097,1
1098,0
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,0
1116,0
1117,1
1118,1
1119,1
1120,0
1121,0
1122,1
1123,0
1124,0
1125,0
1126,0
1127,1
1128,1
1129,1
1130,1
1131,1
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,1
1140,0
1141,1
1142,0
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,1
1163,0
1164,0
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,0
1179,0
1180,0
1181,1
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,0
1209,0
1210,0
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,1
1228,0
1229,1
